anime_name,anime_id,type,episodes,score,rank,popularity,scored_by,likes,aired_from,aired_to,duration,Storyline
Jungle wa Itsumo Hare nochi Guu,253,TV,26,7.83,807,3233,12256,372,2001-04-03T00:00:00+00:00,2001-09-25T00:00:00+00:00,23 min per ep,"Haré was a happy boy living out his days in the jungle with his mother, but then one day Guu showed up and became a member of their household. Throughout the series he faces many hardships as he tries to keep Guu out of trouble in the jungle. (Source: ANN)"
Jungle wa Itsumo Hare nochi Guu Deluxe,254,OVA,6,7.81,846,5023,6328,23,2002-08-25T00:00:00+00:00,2003-01-25T00:00:00+00:00,26 min per ep,"After the events in the city, Haré and family come back to the Jungle. But it is never calm for Haré as he first must deal with an unstable substitute teacher, then with some big news: Weda is pregnant. The answer to how and who will change his family forever. Poor Haré, now has to deal with a father in addition to his drunk mother and Guu, and soon a sibling too. (Source: ANN)"
Jungle wa Itsumo Hare nochi Guu Final,255,OVA,7,7.64,1212,5429,5118,13,2003-12-21T00:00:00+00:00,2004-06-25T00:00:00+00:00,26 min per ep,"Haré's family receives a video letter from Weda's home in the city. Witnessing how sad and lonely Weda's mother and Bel are without her, Weda decides to take Haré and Guu back to the city for a while. After Haré complains about being bored and lonely without his friends in the jungle (as part of his plot to persuade his mother to take him back), Weda decides to send him to a private school in the city, where he instanly falls in love with a pretty girl named Rita. But, of course, Guu wants part of the action too. (Source: ANN)"
Hoshi no Koe,256,OVA,1,7.18,2962,1255,72391,516,2002-02-02T00:00:00+00:00,,25 min,"It is the year 2046, Noboru Terao and Mikako Nagamine are close friends who will soon be graduating junior high school. But after an alien attack on humanity, Mikako is selected for the UN military space expedition set to retaliate against the aliens. Separated, Noboru and Mikako attempt to keep in touch by sending emails to each other with their cell phones. Yet as the expedition journeys farther from Earth, the time it takes for them to transmit and receive each other's messages increases substantially. Hoshi no Koe revolves around the relationship between this couple as they try to stay connected despite the growing distance between them. [Written by MAL Rewrite]"
Ikkitousen,257,TV,13,6.42,6562,1241,61095,350,2003-07-30T00:00:00+00:00,2003-10-22T00:00:00+00:00,24 min per ep,"In Ikkitousen, the Kanto region of Japan is locked in the middle of a turf war between seven different high schools. Among the students of these schools are a select few who are in possession of sacred beads. These magatama harbor the souls of warriors who fought during the Three Kingdoms Era of Chinese history. Not only are these students blessed with abilities that draw from the souls they are tied to, but they are also blessed, or maybe cursed, with the fates of these warriors from the past. One of these students is Hakufu Sonsaku; a young, caring, dim-witted girl who has recently transferred into Nanyo Academy and will be living with her cousin, Koukin Shuyu. Hakufu’s arrival creates an almost immediate sense of tension due to her power as a fighter and the possibility that she may be the one who carries the spirit of the Chinese warlord, Sun Ce. The most powerful fighters at Nanyo, known as “The Big Four” are shaken by her presence and determined to stop Hakufu from achieving the goal given to her by her mother: to conquer those who challenge her and unite the seven schools."
Hitsuji no Uta,258,OVA,4,6.19,7751,4422,6005,34,2003-05-25T00:00:00+00:00,2004-02-25T00:00:00+00:00,30 min per ep,"Kazuna's family has a history of suffering from a disease that creates an uncontrollable vampire-like thirst for blood. Knowing none of this, Kazuna was sent to live with the Eda couple as a child. As the sickness begins to show signs of being present within himself, he comes into contact with his older sister, Chizuna, who has been suffering from it since early childhood. Knowing that the sickness incurs a heavy weight upon those that suffer from it, Chizuna tries to ease her brother's burden, to help him learn to control his urges, but... (Source: ANN)"
Happy☆Lesson,259,OVA,5,6.61,5565,5164,4220,14,2001-07-19T00:00:00+00:00,2003-05-23T00:00:00+00:00,30 min per ep,"One guy. Five girls. One roof. It's a recycled idea, but it never gets old. Happy Lesson is a kinetic take on an old genre. Chitose shares his house with five ladies. One might think the continued attention of this many girls would be a good thing, but too much attention can prove to be painful. Did I mention they're also instructors at his school (hence the title)? Not only is he the subject of their abuse at home, but at school as well. Even when things finally calm down at night, all the rooms are taken so Chitose must sleep on the couch. (Source: AniDB)"
Happy☆Lesson (TV),260,TV,13,6.64,5379,3593,10842,26,2002-04-01T00:00:00+00:00,2002-06-30T00:00:00+00:00,23 min per ep,"Hitotose Chitose was always alone and untrusting of people but when 5 female teachers appear and started living together with him in his family's house as his mothers, things started to change and pick up, together with Hazuki-nee and Minazuki (his 2 sisters) everyday is a lesson. (Source: ANN)"
Happy☆Lesson: Advance,261,TV,13,6.81,4590,4678,5885,6,2003-07-03T00:00:00+00:00,2003-09-28T00:00:00+00:00,24 min per ep,Hitotose Chitose is now living together with his 5 teachers as his mothers when a mysterious girl appears and becomes their neighbor which turns out that that person is Nagatsuki Kuron who wants Mu-chan to be her mother so another sibling rivalry ensues as to who would end up as Mu-chan's child. (Source: ANN)
Happy☆Lesson: The Final,262,OVA,3,6.8,4618,5599,3925,5,2004-05-25T00:00:00+00:00,2004-10-22T00:00:00+00:00,30 min per ep,"When Mitsuki learns that the highschool is going to destroy the old school building, she is saddened at the thought of so many memories being erased. Chitose and the rest of the moms spring into action to stop the demolition. During their efforts, Fumitsuki, Chitose, and Mitsuki finally realize their true feelings. (Source: ANN)"
Hajime no Ippo,263,TV,75,8.74,38,364,208748,16183,2000-10-04T00:00:00+00:00,2002-03-27T00:00:00+00:00,23 min per ep,"Makunouchi Ippo has been bullied his entire life. Constantly running errands and being beaten up by his classmates, Ippo has always dreamed of changing himself, but never has the passion to act upon it. One day, in the midst of yet another bullying, Ippo is saved by Takamura Mamoru, who happens to be a boxer. Ippo faints from his injuries and is brought to the Kamogawa boxing gym to recover. As he regains consciousness, he is awed and amazed at his new surroundings in the gym, though lacks confidence to attempt anything. Takamura places a photo of Ippo's classmate on a punching bag and forces him to punch it. It is only then that Ippo feels something stir inside him and eventually asks Takamura to train him in boxing. Thinking that Ippo does not have what it takes, Takamura gives him a task deemed impossible and gives him a one week time limit. With a sudden desire to get stronger, for himself and his hard working mother, Ippo trains relentlessly to accomplish the task within the time limit. Thus Ippo's journey to the top of the boxing world begins. [Written by MAL Rewrite]"
Hajime no Ippo: Champion Road,264,Special,1,8.27,255,1509,65965,182,2003-04-18T00:00:00+00:00,,1 hr 30 min,"The challenger has become the champion as Ippo Makunouchi now wears the featherweight championship belt of Japan. Some time has passed since Ippo's victory, and he has found his friends and coach as supportive as ever; his crush, Kumi Mashiba, seems to enjoy spending time with him as well. Things are looking bright for the new champion, but just as he once set his sights on becoming the best, his first challenger poses an intimidating threat. Kazuki Sanada works as a doctor at the same hospital as Kumi and fights strategically. Known for integrating his knowledge of the human body into his fights, Sanada is a fearsome contender—however, more unnerving than his physical ability, he has garnered the support of the nurses. Despite being the champion, Ippo feels the pressure as he must face the daunting challenge, retain his belt, and win over the girl he loves. [Written by MAL Rewrite]"
Hajime no Ippo: Mashiba vs. Kimura,265,OVA,1,8.23,286,1794,53482,132,2003-09-05T00:00:00+00:00,,1 hr 1 min,"Tatsuya Kimura is beginning to feel left behind. With his friends Ippo Makunouchi and Mamoru Takamura holding the championship belt in their respective weight classes, Kimura's inability to become Japan's Junior Lightweight boxing champion eats away at him. Scheduled to fight with the current champion Ryo Mashiba, Kimura begins to train with Ippo's rival Ichirou Miyata, who previously suffered a crushing defeat from Mashiba's signature ""Hitman"" style of boxing. But Mashiba has his own desire to hold onto the belt, hoping to soon shoot for the World title and secure financial stability for his sister Kumi. Will Kimura's overwhelming drive to prove his strength as a boxer overcome Mashiba's desperate wish to provide a better life for Kumi? [Written by MAL Rewrite]"
